Name,Version
base,alpha
magic,73929a0bccd3083c3fe5c74b7ebf5a20d74bb4ee
klayout,8b1278808485cc06aeb29cb9425b089df4c58546
skywater-pdk,c094b6e83a4f9298e47f696ec5a7fd53535ec5eb
open_pdks,527bfa4c2a069542981a0217946868068b0d33fe
gtkwave,bc06f0fabd174d44f50647b09d6f7c702b3b6c40
iverilog,v11_0
netgen,18dcac73bcb10455475826facbfdb4c25ce1a951
openlane,2021.09.23_03.17.13
riscv-gnu-toolchain-rv32i,411d134
gaw3-xschem,2a1fc97bcc3081af72fc37a8bc52bc4632e176b2
ngscope,0.9.5
ngspice,51cc21de1637d1abca1b361b756784e69a28cf76
xschem,945368db9cf21c6a402260f6ee03350893a233ef
xyce,a157dbaa9516d5c218725f174b35f670b9e34131
covered,93bee2e0d89c1beb5943a329109dcf24d59498e6
irsim, 5f33a7328787f726c1a22e787c8cc810f46971d3
foss-asic-tools,alpha
