Vin,Rload,Temp,Process Corner,Iin,Iout,Ibias,Vmax,Vmin,Vpeak,IL_Max,Il_Min,Eff
3.3,10,25,ss,0.1033135,0.180369,0.001970502,1.804272,1.803501,2.028361,0.7715251,-0.1403165,0.9363699552896418
3.3,10,25,ff,0.102683,0.180342,0.002022234,1.804046,1.803163,1.951437,0.844172,-0.07817536,0.9412639632444042
3.3,10,70,ss,0.1038157,0.180452,0.001986607,1.804777,1.80433,2.022997,0.703258,-0.061777,0.9326406105108784
3.3,10,70,ff,0.103033,0.180409,0.002040389,1.804554,1.803937,1.94291,0.8716259,-0.1048042,0.938663041620569
3.3,1000,25,ss,0.001335882,0.00180583,0.001826527,1.805963,1.805662,2.097916,0.7642321,-0.9871329,0.3124796575916804
3.3,1000,25,ff,0.001262217,0.00180504,0.00187725,1.805189,1.804865,1.999376,0.8108362,-0.6647035,0.3144877971614001
3.3,1000,70,ss,0.001342543,0.00180764,0.001842403,1.80789,1.807145,2.089895,0.8059669,-0.7963756,0.3108908016118022
3.3,1000,70,ff,0.001271043,0.00180645,0.001895199,1.806587,1.806266,1.988555,0.7713066,-0.516628,0.31231572074172714
3.6,10,25,ss,0.09452789,0.180401,0.00200524,1.804675,1.803773,2.020372,0.8394504,-0.09786055,0.9364810471746274
3.6,10,25,ff,0.09404021,0.180375,0.002056889,1.804336,1.803532,1.950701,0.8584242,-0.1184488,0.940459093619465
3.6,10,70,ss,0.09497827,0.180482,0.00202068,1.805169,1.804597,2.018372,0.7405673,-0.07074635,0.9328208742923964
3.6,10,70,ff,0.09436981,0.180445,0.002074008,1.804891,1.804273,1.940437,0.8381757,-0.08819469,0.9378055737014107
3.6,1000,25,ss,0.001246143,0.0018061,0.001867595,1.806288,1.805913,2.085661,0.7605894,-0.8883106,0.2910040395534599
3.6,1000,25,ff,0.001224201,0.00180536,0.001920218,1.805519,1.805179,1.994492,0.8851792,-0.6391831,0.28792854274333174
3.6,1000,70,ss,0.001264086,0.00180798,0.001883197,1.808177,1.807521,2.080912,0.7139146,-0.7839517,0.2885020790948892
3.6,1000,70,ff,0.001200735,0.00180679,0.001935699,1.806939,1.806589,1.985754,0.8290223,-0.5662639,0.2891190462462926
2.97,10,25,ss,0.1151357,0.180357,0.001926473,1.803856,1.803412,2.046031,0.75931,-0.1400852,0.9356059491980255
2.97,10,25,ff,0.114251,0.180319,0.001980391,1.803808,1.802975,1.958772,0.8304976,-0.09488665,0.9418963108443346
2.97,10,70,ss,0.1157676,0.180433,0.001943581,1.804489,1.804093,2.039263,0.7304805,-0.06970705,0.9312317480856118
2.97,10,70,ff,0.1147174,0.180379,0.00200037,1.804109,1.803591,1.949174,0.8090196,-0.060838,0.9385956111912837
2.97,1000,25,ss,0.00136174,0.00180602,0.001774431,1.806238,1.805806,2.128309,0.7576085,-1.02965,0.3501780555846421
2.97,1000,25,ff,0.001314516,0.00180487,0.001826,1.805028,1.804705,2.009011,0.817368,-0.6323478,0.34924837405710935
2.97,1000,70,ss,0.001456797,0.00180762,0.001791409,1.807932,1.807062,2.114875,0.7182431,-0.8685632,0.33869927118184145
2.97,1000,70,ff,0.001370445,0.00180618,0.001845397,1.806327,1.806046,1.997259,0.8255262,-0.5241039,0.34156306789759544
