Name,Version
base,alpha
magic,f8390b78f88d72e3d51f8a226e15d75bccf23b33
skywater-pdk,f70d8ca46961ff92719d8870a18a076370b85f6c
open_pdks,52af77663c70788e69134dcb2a9dac3949ced43e
openlane,2021.11.23_01.42.34
klayout,cee33a00991a70d39f7c0094c5494956be60f77a
gtkwave,48c6409ed001f28eae9dc5fe87bb0b6b1a7c1217
iverilog,cc0a8c8dd2fef69c4f7fb8219542b1c03a71a3b4
netgen,bfb01e032f668c09ff43e889f35d611ef0e4a317
riscv-gnu-toolchain-rv32i,217e7f3debe424d61374d31e33a091a630535937
gaw3-xschem,a3239fdcc700e7b33331051eb22f47904112e849
ngscope,0.9.5
ngspice,1a6a9e6bb60ad8d07ecbfb3f35dea22379fb73e9
xschem,2a205d298aa8985a9bf7b9d6b9fb2962e7bfc18a
xyce,90f497587bb303bcd160b46269c31f45fd769877
covered,93bee2e0d89c1beb5943a329109dcf24d59498e6
irsim,3813495e55a21a024e62e21bd6993fac068a61b9
opensta,bbf5584e304a4fd7f47bd6f9eb7867170142a879
cvc,d01c4abd446aaac3fe7f9465611d654536a20a7a
iic-osic,11743c605ff5f8d638f7a495774ec59f44be5210
foss-asic-tools,alpha
