Name,Version
base-ubuntu,alpha
magic,f7df5e7c86fb47c5fd445c846afddc6fbabad6ae
pdks-volare,8fe7f760ece2bb49b1c310e60243f0558977dae5
openlane,2022.05.30_01.41.33
klayout,24e8db996cd598df9c2dcedcb0846f3964fb077f
gtkwave,49a2a53caee83890dff503c15815fb53d5ccde74
iverilog,e3a9591960d53e546d5834506b229a5d56995ed7
netgen,2056b37c95e11ea802f8b06c8948e874a298808a
riscv-gnu-toolchain-rv32i,409b951ba6621f2f115aebddfb15ce2dd78ec24f
gaw3-xschem,854bee4cf20663a632840256737d0d68b5eca417
ngscope,0.9.5
ngspice,0faf386d45521f7ed82f621266b3990adc982b50
xschem,b72d8387b22f7731b07c12678ace726817a82f7c
kicad,6.0.2
xyce,cd86af93e31e803bd84f8396e9b4dfa1761819b5
covered,93bee2e0d89c1beb5943a329109dcf24d59498e6
irsim,3813495e55a21a024e62e21bd6993fac068a61b9
opensta,17d721f944d7a625b2b1bc2f8a43f4d8b5573ae1
cvc,d01c4abd446aaac3fe7f9465611d654536a20a7a
iic-osic,d0e2f4926b68c7718a25f0d871704f9e5791d64d
foss-asic-tools,eta
