Name,Version
base,alpha
magic,085131b090cb511d785baf52a10cf6df8a657d44
pdks-volare,8fe7f760ece2bb49b1c310e60243f0558977dae5
openlane,2022.05.30_01.41.33
klayout,17e643ce5bf0f7a6fdc23151eaa2803f5c86e249
gtkwave,48c6409ed001f28eae9dc5fe87bb0b6b1a7c1217
iverilog,2693dd32b075243cca20400cf3a808cef119477e
netgen,f8ed4e42e272a4fb6b69321114516b374d3d4183
riscv-gnu-toolchain-rv32i,409b951ba6621f2f115aebddfb15ce2dd78ec24f
gaw3-xschem,98bfc8636f8642ae60e89fde009f83abe3cee9f1
ngscope,0.9.5
ngspice,c4efe2e3ac264b6889e844f935410f9a795f1a68
xschem,1bd2e750e12c8fad714e05c148959e6df498cd3a
kicad,6.0.2
xyce,437c914dd529173aa693f3e26e33517b9c28b323
covered,93bee2e0d89c1beb5943a329109dcf24d59498e6
irsim,3813495e55a21a024e62e21bd6993fac068a61b9
opensta,3992c34aee97a8f4dbd4e88580d7277441012e9d
cvc,d01c4abd446aaac3fe7f9465611d654536a20a7a
iic-osic,a98da34600c0f6ed74a6e29133db770d81bf2760
foss-asic-tools,eta
